date,dS (m3)
2020-10-19,30553640.8368035
2020-10-21,13318754.638059601
2020-10-24,14735493.3224589
2020-10-29,26019361.3954405
2020-11-03,25925925.9171949
2020-11-06,17903026.5804333
2020-11-08,-5360258.984604401
2020-11-13,12781352.4505542
2020-11-18,354600.3683304
2020-11-22,-760718.2680916
2020-11-23,-63586806.8853767
2020-11-28,34207335.4980243
2020-12-03,35012279.0450645
2020-12-08,-3569254.8363012997
2020-12-13,-3588652.7677321
2020-12-18,-27222102.1992875
2020-12-23,17108878.27786
2020-12-24,20672.985416587213
2020-12-28,17448209.9338014
2021-01-02,-16712225.524134701
2021-01-07,-16360104.3600832
2021-01-09,-17276241.879112
2021-01-12,-4889339.2952044
2021-01-17,12736276.9175737
2021-01-22,5322141.6846382
2021-01-25,20590212.0056107
2021-01-27,-7938173.2241898
2021-02-01,-10001160.4610941
2021-02-06,-12699289.957673399
2021-02-10,-2009879.1825225998
2021-02-11,-8706321.078610199
2021-02-16,-10845608.6409117
2021-02-21,-16180027.516840002
2021-02-26,-13878828.053291801
2021-03-03,-19142640.2735234
2021-03-08,-16060584.113256002
2021-03-13,-20775777.2709996
2021-03-14,10689585.2698964
2021-03-18,-32822902.558024503
2021-03-23,-18441771.5789618
2021-03-28,-18628359.279589597
2021-03-30,8965945.1710359
2021-04-02,-120690335.5259327
2021-04-07,-8056166.356934
2021-04-12,-7532232.6629396
2021-04-15,47549458.3983709
2021-04-17,-90240642.3434508
2021-04-22,62792831.225646205
2021-04-27,-68207295.2494639
2021-05-01,-9859407.5357882
2021-05-02,-2509821.1351893
2021-05-07,-35916698.3263273
2021-05-12,24124581.271989
2021-05-17,24035581.1297494
2021-05-22,1277628.7569407
2021-05-27,1280857.0187057
2021-06-01,-6020253.4425438
2021-06-02,10270966.4808652
2021-06-06,409095.3669434
2021-06-11,-303627.2039344
2021-06-16,-3738435.9931708
2021-06-18,7093545.5772764
2021-06-21,-2147699.235388
2021-06-26,-18300982.3468147
2021-07-01,-10442063.7153562
2021-07-04,24597455.8472882
2021-07-06,57808213.6953296
2021-07-11,3666393.958209
2021-07-16,3689630.1734427996
2021-07-20,-86219293.9750004
2021-07-21,-3104239.5059957
2021-07-26,-15198827.4231723
2021-07-31,-5880658.5672042
2021-08-05,7762807.604755701
2021-08-10,195221.8775908
2021-08-15,635204.8442749999
2021-08-20,-13693043.0462719
2021-08-21,-3459329.3260544003
2021-08-25,49940669.4477047
2021-08-30,23793348.523704
2021-09-04,22939559.2880172
2021-09-06,15324077.4515782
2021-09-09,9083535.3201604
2021-09-14,24476669.489355203
2021-09-19,24159757.436110802
2021-09-22,18917683.7467722
2021-09-24,4758664.742965899
2021-09-29,24091971.829252798
2021-10-04,56640396.2902099
2021-10-08,21306417.7774427
2021-10-09,16626271.0486702
2021-10-14,35417745.378133
2021-10-19,31124613.10152
2021-10-24,-35604664.676658206
2021-10-29,59477549.3725228
2021-11-03,27167103.6463082
2021-11-08,6342212.4222492
2021-11-09,1148856.9517491001
2021-11-13,-30594957.670271
2021-11-18,-28714876.2679315
2021-11-23,-1090288.8802794
2021-11-25,64133407.7987503
2021-11-28,1549184.918706
2021-12-03,2589876.6667267
2021-12-08,2344208.9128442
2021-12-11,-2797240.4770254
2021-12-13,-33053810.797338802
2021-12-18,15195172.7637644
2021-12-19,272557.3627622
2021-12-23,-31064382.053717002
2021-12-27,35703621.9932805
2021-12-28,-800858.5113245
2022-01-02,-4875362.444208
2022-01-04,-2469373.7054338
2022-01-07,7011079.7960771
2022-01-12,-11941972.872027101
2022-01-17,6151257.154147
2022-01-20,-4613990.5664428
2022-01-22,106665.3776612
2022-01-27,10011636.031727301
2022-01-28,-20689250.801210202
2022-02-01,11464295.1623082
2022-02-05,-9569077.6874369
2022-02-06,-2342899.8925402
2022-02-11,-11871717.7098242
2022-02-13,-16611116.590212801
2022-02-16,9604826.6974431
2022-02-21,-23517199.869911
2022-02-26,-7589100.7190813
2022-03-01,-4507813.9301894
2022-03-03,-45757596.5328669
2022-03-08,-14547712.458385501
2022-03-09,-3701595.1544541
2022-03-13,-15237916.1478997
2022-03-17,21028762.3760178
2022-03-18,-22266564.4864435
2022-03-23,-40753290.1979058
2022-03-25,-5293221.0405313
2022-03-28,-37220663.338916
2022-04-02,15811137.9161897
2022-04-07,-3608114.7514029
2022-04-10,-4627260.164667799
2022-04-12,10788195.9101085
2022-04-17,-23759677.2584461
2022-04-18,-14821197.072408201
2022-04-22,52726425.4436527
2022-04-26,-6082973.6031731
2022-04-27,-85858188.21213779
2022-05-02,-17917247.7976958
2022-05-04,11056250.333732601
